source,name,symbol,rate,cel_rate,date
celsius,Wrapped-DGLD,WDGLD,0.0550,0.0692,"2021-04-01 13:53:00"
celsius,"OMG Network",OMG,0.0202,0.0253,"2021-02-28 23:04:00"
celsius,"OMG Network",OMG,0.0050,0.0063,"2021-08-06 11:00:08"
gemini,Fetch.ai,FET,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Fetch.ai,FET,0.0250,NULL,"2022-07-18 00:00:00"
gemini,Fetch.ai,FET,0.0618,NULL,"2022-10-05 17:00:10"
celsius,1INCH,1INCH,0.0351,0.0631,"2021-12-17 11:00:18"
celsius,1INCH,1INCH,0.0351,0.0519,"2021-09-30 11:00:16"
celsius,1INCH,1INCH,0.0502,0.0631,"2022-08-04 23:00:16"
gemini,1INCH,1INCH,0.0351,NULL,"2022-03-16 00:00:00"
gemini,1INCH,1INCH,0.0805,NULL,"2022-04-01 00:00:00"
gemini,1INCH,1INCH,0.0001,NULL,"2022-11-16 17:00:17"
celsius,Cardano,ADA,0.0406,0.0510,"2021-08-27 05:00:08"
celsius,"Gemini Dollar",GUSD,0.0805,0.0895,"2022-02-28 11:00:16"
celsius,"Gemini Dollar",GUSD,0.0805,0.1330,"2021-02-28 23:04:00"
celsius,"Gemini Dollar",GUSD,0.0805,0.1265,"2021-04-26 23:04:00"
celsius,"Gemini Dollar",GUSD,0.0805,0.1073,"2021-12-17 11:00:18"
celsius,"Gemini Dollar",GUSD,0.0805,0.0895,"2022-03-04 05:00:07"
celsius,"Gemini Dollar",GUSD,0.0805,0.1121,"2021-05-28 11:00:26"
celsius,"Gemini Dollar",GUSD,0.0805,0.1268,"2021-11-12 05:00:08"
celsius,"Gemini Dollar",GUSD,0.0805,0.1073,"2022-02-28 13:00:09"
celsius,"Gemini Dollar",GUSD,0.0710,0.0895,"2022-08-04 23:00:16"
gemini,"Gemini Dollar",GUSD,0.0565,NULL,"2022-11-01 17:00:16"
gemini,"Gemini Dollar",GUSD,0.0715,NULL,"2022-07-18 00:00:00"
gemini,"Gemini Dollar",GUSD,0.0690,NULL,"2022-04-01 00:00:00"
gemini,"Gemini Dollar",GUSD,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"Gemini Dollar",GUSD,0.0592,NULL,"2022-10-05 17:00:10"
gemini,"Gemini Dollar",GUSD,0.0805,NULL,"2022-03-16 00:00:00"
gemini,Fantom,FTM,0.0127,NULL,"2022-05-01 00:00:00"
gemini,Fantom,FTM,0.0266,NULL,"2022-03-16 00:00:00"
gemini,Fantom,FTM,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Chiliz,CHZ,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Chiliz,CHZ,0.0149,NULL,"2022-07-18 00:00:00"
gemini,Rally,RLY,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Rally,RLY,0.0618,NULL,"2022-10-05 17:00:10"
gemini,Rally,RLY,0.0454,NULL,"2022-06-01 00:00:00"
gemini,Rally,RLY,0.0422,NULL,"2022-03-16 00:00:00"
celsius,Chainlink,LINK,0.0135,0.0566,"2022-01-01 00:00:00"
celsius,Chainlink,LINK,0.0175,0.0220,"2022-08-04 23:00:16"
celsius,Chainlink,LINK,0.0135,0.0377,"2022-01-01 00:00:00"
celsius,Chainlink,LINK,0.0135,0.0220,"2022-01-01 00:00:00"
gemini,Chainlink,LINK,0.0050,NULL,"2022-02-01 00:00:00"
gemini,Chainlink,LINK,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Chainlink,LINK,0.0135,NULL,"2022-01-01 00:00:00"
gemini,Chainlink,LINK,0.0045,NULL,"2022-06-01 00:00:00"
celsius,"Sushi Token",SUSHI,0.0413,0.0519,"2022-08-04 23:00:16"
celsius,"Sushi Token",SUSHI,0.0101,0.0519,"2021-09-30 11:00:16"
gemini,"Sushi Token",SUSHI,0.0101,NULL,"2022-03-16 00:00:00"
gemini,"Sushi Token",SUSHI,0.0200,NULL,"2022-05-01 00:00:00"
gemini,"Sushi Token",SUSHI,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"Sushi Token",SUSHI,0.0250,NULL,"2022-06-01 00:00:00"
celsius,Tether,"USDT ERC20",0.0850,0.1073,"2021-12-17 11:00:18"
celsius,Tether,"USDT ERC20",0.0850,0.1073,"2022-02-28 13:00:09"
celsius,Tether,"USDT ERC20",0.1000,0.1265,"2021-04-26 11:00:24"
celsius,Tether,"USDT ERC20",0.1051,0.1330,"2021-02-28 23:04:00"
celsius,Tether,"USDT ERC20",0.0888,0.1121,"2021-05-28 11:00:26"
celsius,Tether,"USDT ERC20",0.0710,0.0895,"2022-03-04 05:00:07"
celsius,Tether,"USDT ERC20",0.0710,0.0895,"2022-02-28 11:00:16"
celsius,Tether,"USDT ERC20",0.1002,0.1268,"2021-11-12 05:00:08"
celsius,Z.com,ZUSD,0.1002,0.1268,"2021-11-12 05:00:08"
celsius,Z.com,ZUSD,0.0888,0.1121,"2021-05-28 11:00:26"
celsius,Z.com,ZUSD,0.1000,0.1265,"2021-05-06 11:00:19"
celsius,Z.com,ZUSD,0.0460,0.0578,"2021-12-17 11:00:18"
celsius,"Synthetix Network Token",SNX,0.0253,0.1785,"2021-12-17 11:00:18"
celsius,"Synthetix Network Token",SNX,0.0253,0.1778,"2021-02-28 23:04:00"
celsius,"Synthetix Network Token",SNX,0.1405,0.1785,"2022-08-04 23:00:16"
gemini,"Synthetix Network Token",SNX,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"Synthetix Network Token",SNX,0.0618,NULL,"2022-10-05 17:00:10"
gemini,"Synthetix Network Token",SNX,0.0253,NULL,"2022-03-16 00:00:00"
gemini,"Synthetix Network Token",SNX,0.0275,NULL,"2022-06-01 00:00:00"
celsius,"PAX Gold",PAXG,0.0050,0.0692,"2021-02-28 23:04:00"
celsius,"PAX Gold",PAXG,0.0550,0.0692,"2022-08-04 23:00:16"
gemini,"PAX Gold",PAXG,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"PAX Gold",PAXG,0.0050,NULL,"2022-03-16 00:00:00"
gemini,"PAX Gold",PAXG,0.0045,NULL,"2022-06-01 00:00:00"
gemini,Loopring,LRC,0.0403,NULL,"2022-07-18 00:00:00"
gemini,Loopring,LRC,0.0001,NULL,"2022-11-16 17:00:17"
celsius,Ethereum,ETH,0.0200,0.0727,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0352,0.0442,"2022-08-04 23:00:16"
celsius,Ethereum,ETH,0.0200,0.0620,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0200,0.0727,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0200,0.0635,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0200,0.0519,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0200,0.0442,"2022-01-01 00:00:00"
celsius,Ethereum,ETH,0.0200,0.0315,"2022-01-01 00:00:00"
gemini,Ethereum,ETH,0.0253,NULL,"2022-10-05 17:00:10"
gemini,Ethereum,ETH,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Ethereum,ETH,0.0228,NULL,"2022-11-01 17:00:16"
gemini,Ethereum,ETH,0.0126,NULL,"2022-02-01 00:00:00"
gemini,Ethereum,ETH,0.0200,NULL,"2022-01-01 00:00:00"
gemini,Ethereum,ETH,0.0304,NULL,"2022-07-18 00:00:00"
celsius,Zcash,ZEC,0.0050,0.0063,"2022-04-18 03:00:20"
celsius,Zcash,ZEC,0.0050,0.0253,"2021-02-28 23:04:00"
gemini,Zcash,ZEC,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Zcash,ZEC,0.0045,NULL,"2022-06-01 00:00:00"
gemini,Zcash,ZEC,0.0050,NULL,"2022-03-16 00:00:00"
celsius,Stellar,XLM,0.0100,0.0126,"2021-08-27 09:00:18"
celsius,Stellar,XLM,0.0310,0.0388,"2021-02-28 23:04:00"
celsius,"Kyber Network",KNC,0.0050,0.0063,"2021-08-06 11:00:08"
celsius,"Kyber Network",KNC,0.0253,0.0317,"2021-02-28 23:05:00"
gemini,"Kyber Network",KNC,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"Kyber Network",KNC,0.0125,NULL,"2022-03-16 00:00:00"
gemini,"The Graph",GRT,0.0643,NULL,"2022-01-01 00:00:00"
gemini,"The Graph",GRT,0.0305,NULL,"2022-02-01 00:00:00"
gemini,"The Graph",GRT,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"The Graph",GRT,0.0250,NULL,"2022-05-01 00:00:00"
celsius,"Curve DAO Token",CRV,0.0616,0.0447,"2022-05-20 11:00:39"
celsius,"Curve DAO Token",CRV,0.0356,0.0447,"2022-08-04 23:00:16"
gemini,"Curve DAO Token",CRV,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"Curve DAO Token",CRV,0.0616,NULL,"2022-03-16 00:00:00"
gemini,"Curve DAO Token",CRV,0.0624,NULL,"2022-10-05 17:00:10"
gemini,"Curve DAO Token",CRV,0.0805,NULL,"2022-04-01 00:00:00"
celsius,"Paxos Standard",PAX,0.1000,0.1265,"2021-04-26 11:00:24"
celsius,"Paxos Standard",PAX,0.1051,0.1330,"2021-02-28 23:04:00"
celsius,"Paxos Standard",PAX,0.0888,0.1121,"2021-05-28 11:00:26"
celsius,"Paxos Standard",PAX,0.0710,0.0895,"2022-03-04 05:00:07"
celsius,"Paxos Standard",PAX,0.1002,0.1268,"2021-11-12 05:00:08"
celsius,"Paxos Standard",PAX,0.0850,0.1073,"2022-02-28 13:00:09"
celsius,"Paxos Standard",PAX,0.0710,0.0895,"2022-02-28 11:00:16"
celsius,"Paxos Standard",PAX,0.0850,0.1073,"2021-12-17 11:00:18"
celsius,"Multi Collateral DAI",MCDAI,0.1051,0.1330,"2021-02-28 23:04:00"
celsius,"Multi Collateral DAI",MCDAI,0.0460,0.0578,"2021-05-28 11:00:26"
celsius,"Multi Collateral DAI",MCDAI,0.1000,0.1265,"2021-04-26 11:00:24"
celsius,"Multi Collateral DAI",MCDAI,0.1000,0.1265,"2021-05-24 05:00:12"
celsius,"Multi Collateral DAI",MCDAI,0.1000,0.1265,"2021-05-23 23:00:09"
gemini,Injective,INJ,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Injective,INJ,0.0151,NULL,"2022-03-16 00:00:00"
gemini,Injective,INJ,0.0125,NULL,"2022-06-01 00:00:00"
celsius,"Bitcoin SV",BSV,0.0202,0.0253,"2021-02-28 23:04:00"
gemini,"Axie Infinity",AXS,0.0683,NULL,"2022-03-16 00:00:00"
gemini,"Axie Infinity",AXS,0.0001,NULL,"2022-11-16 17:00:17"
celsius,"Basic Attention Token",BAT,0.0175,0.0126,"2022-01-01 00:00:00"
celsius,"Basic Attention Token",BAT,0.0100,0.0126,"2022-08-04 23:00:16"
celsius,"Basic Attention Token",BAT,0.0175,0.0440,"2022-01-01 00:00:00"
gemini,"Basic Attention Token",BAT,0.0101,NULL,"2022-02-01 00:00:00"
gemini,"Basic Attention Token",BAT,0.0175,NULL,"2022-01-01 00:00:00"
gemini,"Basic Attention Token",BAT,0.0001,NULL,"2022-11-16 17:00:17"
celsius,"Binance USD",BUSD,0.1002,0.1268,"2021-11-12 05:00:08"
celsius,"Binance USD",BUSD,0.1000,0.1265,"2021-04-26 11:00:24"
celsius,"Binance USD",BUSD,0.0850,0.1073,"2022-02-28 13:00:09"
celsius,"Binance USD",BUSD,0.0710,0.0895,"2022-03-04 05:00:07"
celsius,"Binance USD",BUSD,0.0888,0.1121,"2021-05-28 11:00:26"
celsius,"Binance USD",BUSD,0.0710,0.0895,"2022-02-28 11:00:16"
celsius,"Binance USD",BUSD,0.1051,0.1330,"2021-02-28 23:04:00"
celsius,"Binance USD",BUSD,0.0850,0.1073,"2021-12-17 11:00:18"
celsius,"USD Coin",USDC,0.0799,0.1265,"2021-04-26 11:00:24"
celsius,"USD Coin",USDC,0.0799,0.1073,"2021-12-17 11:00:18"
celsius,"USD Coin",USDC,0.0799,0.1330,"2021-02-28 23:04:00"
celsius,"USD Coin",USDC,0.0799,0.0895,"2022-03-04 05:00:07"
celsius,"USD Coin",USDC,0.0799,0.1268,"2021-11-12 05:00:08"
celsius,"USD Coin",USDC,0.0799,0.0895,"2022-02-28 11:00:16"
celsius,"USD Coin",USDC,0.0799,0.1121,"2021-05-28 11:00:26"
celsius,"USD Coin",USDC,0.0710,0.0895,"2022-08-04 23:00:16"
celsius,"USD Coin",USDC,0.0799,0.1073,"2022-02-28 13:00:09"
gemini,"USD Coin",USDC,0.0486,NULL,"2022-11-01 17:00:16"
gemini,"USD Coin",USDC,0.0001,NULL,"2022-11-16 17:00:17"
gemini,"USD Coin",USDC,0.0636,NULL,"2022-04-01 00:00:00"
gemini,"USD Coin",USDC,0.0513,NULL,"2022-10-05 17:00:10"
gemini,"USD Coin",USDC,0.0531,NULL,"2022-06-01 00:00:00"
gemini,"USD Coin",USDC,0.0636,NULL,"2022-07-18 00:00:00"
gemini,"USD Coin",USDC,0.0799,NULL,"2022-03-16 00:00:00"
celsius,Compound,COMP,0.0175,0.0220,"2022-04-01 05:00:12"
celsius,Compound,COMP,0.0460,0.0578,"2021-02-28 23:05:00"
gemini,Compound,COMP,0.0228,NULL,"2022-03-16 00:00:00"
gemini,Compound,COMP,0.0001,NULL,"2022-11-16 17:00:17"
celsius,"Convex Finance",CVX,0.0050,0.0063,"2022-05-20 11:00:39"
celsius,0x,ZRX,0.0351,0.0440,"2021-02-28 23:04:00"
celsius,0x,ZRX,0.0177,0.0221,"2021-08-20 11:00:26"
celsius,0x,ZRX,0.0050,0.0063,"2022-04-18 03:00:20"
gemini,0x,ZRX,0.0125,NULL,"2022-03-16 00:00:00"
gemini,0x,ZRX,0.0001,NULL,"2022-11-16 17:00:17"
